date,cases,deaths,country,population,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-05-31,61,25,Belgium,11455519,58749,512.8445075251501,0.5324944247397259,166.85714285714286,1168,191.64285714285714,2683,1.6729303765534949,23.421025271748928,9489,82.83343600582393,26,182,28.928571428571427,405,0.2525295573999871,3.5354138035998197
2020-06-01,49,19,Belgium,11455519,58798,513.2722489483017,0.4277414231515831,163.14285714285714,1142,189.35714285714286,2651,1.6529774238700392,23.14168393418055,9508,82.99929492500515,23.857142857142858,167,27.785714285714285,389,0.2425530810582592,3.3957431348156293
2020-06-02,59,22,Belgium,11455519,58857,513.7872845394434,0.515035591141702,127,889,171.07142857142858,2395,1.4933538024023931,20.9069532336335,9530,83.1913420945834,23.571428571428573,165,26.857142857142858,376,0.23444719403060532,3.2822607164284743
2020-06-03,180,20,Belgium,11455519,59037,515.3585795632655,1.571295023822142,123.85714285714286,867,163,2282,1.4228949382389398,19.920529135345156,9550,83.36593043056365,20.714285714285715,145,26.142857142857142,366,0.22821189631702538,3.1949665484383556
2020-06-04,159,20,Belgium,11455519,59196,516.7465568343084,1.3879772710428921,120.71428571428571,845,146.85714285714286,2056,1.2819772099120335,17.947680938768467,9570,83.54051876654388,20.142857142857142,141,25.285714285714285,354,0.22072953906072948,3.0902135468502125
2020-06-05,170,14,Belgium,11455519,59366,518.2305576901405,1.484000855832023,120.42857142857143,843,153.92857142857142,2155,1.3437066572764744,18.811893201870646,9584,83.66273060173005,19,133,24.214285714285715,339,0.2113765924903596,2.959272294865034
2020-06-06,154,12,Belgium,11455519,59520,519.5748878771883,1.3443301870478326,118.85714285714286,832,147.21428571428572,2061,1.2850948587688233,17.991328022763525,9596,83.7674836033182,18.857142857142858,132,22.357142857142858,313,0.19516481843505176,2.732307458090725
2020-06-07,68,11,Belgium,11455519,59588,520.1684882195211,0.5936003423328092,119.85714285714286,839,143.35714285714286,2007,1.2514242511154918,17.519939515616883,9607,83.86350718810732,16.857142857142858,118,21.428571428571427,300,0.18705893140739785,2.61882503970357
2020-06-08,53,12,Belgium,11455519,59641,520.6311473098688,0.4626590903476307,120.42857142857143,843,141.78571428571428,1985,1.2377065961456157,17.32789234603862,9619,83.96826018969547,15.857142857142858,111,19.857142857142858,278,0.17334127643752203,2.426777870125308
2020-06-09,152,9,Belgium,11455519,59793,521.9580186633185,1.3268713534498089,133.71428571428572,936,130.35714285714286,1825,1.137941832728337,15.931185658196718,9628,84.04682494088658,14,98,18.785714285714285,263,0.16398832986715212,2.2958366181401297
2020-06-10,146,12,Belgium,11455519,59939,523.2325135159742,1.2744948526557374,128.85714285714286,902,126.35714285714286,1769,1.1030241655322894,15.442338317452052,9640,84.15157794247472,12.857142857142858,90,16.785714285714285,235,0.1465294962691283,2.0514129477677967
2020-06-11,118,12,Belgium,11455519,60057,524.2625846982577,1.030071182283404,123,861,121.85714285714286,1706,1.0637417899367358,14.892385059114302,9652,84.25633094406287,11.714285714285714,82,15.928571428571429,223,0.13904713901283242,1.9466599461796537
2020-06-12,95,7,Belgium,11455519,60152,525.0918792941638,0.8292945959061305,112.28571428571429,786,116.35714285714286,1629,1.0157299975421705,14.220219965590385,9659,84.31743686165595,10.714285714285714,75,14.857142857142858,208,0.12969419244246252,1.8157186941944752
2020-06-13,89,10,Belgium,11455519,60241,525.8687973892759,0.7769180951120591,103,721,110.92857142857143,1553,0.9683417349189629,13.556784288865481,9669,84.40473102964606,10.428571428571429,73,14.642857142857142,205,0.12782360312838853,1.7895304437974395
2020-06-14,49,5,Belgium,11455519,60290,526.2965388124275,0.4277414231515831,100.28571428571429,702,110.07142857142857,1541,0.960859377662667,13.452031287277338,9674,84.44837811364113,9.571428571428571,67,13.214285714285714,185,0.11535300770122868,1.6149421078172015
2020-06-15,22,3,Belgium,11455519,60312,526.4885859820057,0.19204716957826182,95.85714285714286,671,108.14285714285714,1514,0.9440240738360012,13.216337033704017,9677,84.47456636403815,8.285714285714286,58,12.071428571428571,169,0.10537653135950079,1.475271439033011
2020-06-16,147,8,Belgium,11455519,60459,527.7718102514605,1.2832242694547493,95.14285714285714,666,114.42857142857143,1602,0.9988946937155045,13.984525712017064,9685,84.54440169843025,8.142857142857142,57,11.071428571428571,155,0.0966471145604889,1.3530596038468445
2020-06-17,98,7,Belgium,11455519,60557,528.6272930977636,0.8554828463031662,88.28571428571429,618,108.57142857142857,1520,0.9477652524641491,13.268713534498088,9692,84.60550761602333,7.428571428571429,52,10.142857142857142,142,0.08854122753283498,1.2395771854596898
2020-06-18,123,7,Belgium,11455519,60680,529.7010113640421,1.0737182662784637,89,623,106,1484,0.9253181806952614,12.95445452973366,9699,84.66661353361641,6.714285714285714,47,9.214285714285714,129,0.08043534050518107,1.1260947670725352
2020-06-19,108,5,Belgium,11455519,60788,530.6437883783353,0.9427770142932852,90.85714285714286,636,101.57142857142857,1422,0.8866593348710659,12.413230688194922,9704,84.71026061761148,6.428571428571429,45,8.571428571428571,120,0.07482357256295914,1.047530015881428
2020-06-20,121,4,Belgium,11455519,60909,531.7000478110158,1.05625943268044,95.42857142857143,668,99.21428571428571,1389,0.866082852416252,12.125159933827529,9708,84.74517828480752,5.571428571428571,39,8,112,0.0698353343920952,0.9776946814893328
2020-06-21,49,3,Belgium,11455519,60958,532.1277892341674,0.4277414231515831,95.42857142857143,668,97.85714285714286,1370,0.8542357867604503,11.959301014646304,9711,84.77136653520456,5.285714285714286,37,7.428571428571429,104,0.06484709622123126,0.9078593470972376
2020-06-22,19,9,Belgium,11455519,60977,532.2936481533486,0.1658589191812261,95,665,95.42857142857143,1336,0.8330357745342785,11.662500843479899,9720,84.84993128639567,6.142857142857143,43,7.214285714285714,101,0.06297650690715728,0.8816710967002019
2020-06-23,143,12,Belgium,11455519,61120,533.5419547556073,1.2483066022587017,94.42857142857143,661,94.78571428571429,1327,0.8274240065920566,11.583936092288791,9732,84.95468428798381,6.714285714285714,47,7.428571428571429,104,0.06484709622123126,0.9078593470972376
2020-06-24,110,4,Belgium,11455519,61230,534.5021906034987,0.960235847891309,96.14285714285714,673,92.21428571428571,1291,0.8049769348231688,11.269677087524363,9736,84.98960195517986,6.285714285714286,44,6.857142857142857,96,0.059858858050367315,0.8380240127051424
2020-06-25,100,3,Belgium,11455519,61330,535.3751322833998,0.87294167990119,92.85714285714286,650,90.92857142857143,1273,0.793753398938725,11.11254758514215,9739,85.01579020557689,5.714285714285714,40,6.214285714285714,87,0.05424709010814538,0.7594592615140353
2020-06-26,76,5,Belgium,11455519,61406,536.0385679601247,0.6634356767249044,88.28571428571429,618,89.57142857142857,1254,0.781906333282923,10.946688665960922,9744,85.05943728957196,5.714285714285714,40,6.071428571428571,85,0.053000030565429394,0.7420004279160115
2020-06-27,113,2,Belgium,11455519,61519,537.0249920584131,0.9864240982883448,87.14285714285714,610,91.28571428571429,1278,0.796871047795515,11.156194669137209,9746,85.07689612316997,5.428571428571429,38,5.5,77,0.048011792394565454,0.6721650935239163
2020-06-28,41,7,Belgium,11455519,61560,537.3828981471726,0.35790608875948793,86,602,90.71428571428571,1270,0.7918828096246509,11.086359334745113,9753,85.13800204076306,6,42,5.642857142857143,79,0.04925885193728144,0.6896239271219401
2020-06-29,23,5,Belgium,11455519,61583,537.5836747335499,0.2007765863772737,86.57142857142857,606,90.78571428571429,1271,0.792506339396009,11.095088751544125,9758,85.18164912475812,5.428571428571429,38,5.785714285714286,81,0.050505911479997424,0.7070827607199639
2020-06-30,127,3,Belgium,11455519,61710,538.6923106670243,1.1086359334745113,84.28571428571429,590,89.35714285714286,1251,0.7800357439688491,10.920500415563888,9761,85.20783737515515,4.142857142857143,29,5.428571428571429,76,0.04738826262320746,0.6634356767249044
2020-07-01,100,8,Belgium,11455519,61810,539.5652523469256,0.87294167990119,82.85714285714286,580,89.5,1253,0.7812828035115651,10.937959249161912,9769,85.27767270954725,4.714285714285714,33,5.5,77,0.048011792394565454,0.6721650935239163
2020-07-02,134,2,Belgium,11455519,61944,540.7349941979932,1.1697418510675945,87.71428571428571,614,90.28571428571429,1264,0.788141630996503,11.033982833951042,9771,85.29513154314527,4.571428571428571,32,5.142857142857143,72,0.04489414353777549,0.6285180095288568
2020-07-03,93,5,Belgium,11455519,62037,541.5468299603012,0.8118357623081067,90.14285714285714,631,89.21428571428571,1249,0.778788684426133,10.903041581965864,9776,85.33877862714034,4.571428571428571,32,5.142857142857143,72,0.04489414353777549,0.6285180095288568
2020-07-04,93,2,Belgium,11455519,62130,542.3586657226093,0.8118357623081067,87.28571428571429,611,87.21428571428571,1221,0.7613298508281092,10.658617911593531,9778,85.35623746073836,4.571428571428571,32,5,70,0.0436470839950595,0.611059175930833
2020-07-05,63,3,Belgium,11455519,62193,542.9086189809472,0.5499532583377497,90.42857142857143,633,88.21428571428571,1235,0.7700592676271212,10.780829746779697,9781,85.3824257111354,4,28,5,70,0.0436470839950595,0.611059175930833
