date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cases_14day_rollmean,cases_14day_rollmean_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_14day_rollmean,deaths_14day_rollmean_per100000
2020-01-21,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,Ireland,4904240,0,0,0,0,0,0,0,0,0,0
2020-03-01,1,0,Ireland,4904240,1,0.020390519224181523,0.14285714285714285,0.07142857142857142,0.0014564656588701087,0,0,0,0,0
2020-03-02,0,0,Ireland,4904240,1,0.020390519224181523,0.14285714285714285,0.07142857142857142,0.0014564656588701087,0,0,0,0,0
2020-03-04,1,0,Ireland,4904240,2,0.04078103844836305,0.2857142857142857,0.14285714285714285,0.0029129313177402175,0,0,0,0,0
2020-03-05,4,0,Ireland,4904240,6,0.12234311534508914,0.8571428571428571,0.42857142857142855,0.008738793953220653,0,0,0,0,0
2020-03-06,7,0,Ireland,4904240,13,0.2650767499143598,1.8571428571428572,0.9285714285714286,0.018934053565311415,0,0,0,0,0
2020-03-07,5,0,Ireland,4904240,18,0.36702934603526743,2.5714285714285716,1.2857142857142858,0.02621638185966196,0,0,0,0,0
2020-03-08,1,0,Ireland,4904240,19,0.38741986525944894,2.7142857142857144,1.3571428571428572,0.02767284751853207,0,0,0,0,0
2020-03-09,2,0,Ireland,4904240,21,0.428200903707812,2.857142857142857,1.5,0.030585778836272285,0,0,0,0,0
2020-03-11,14,0,Ireland,4904240,35,0.7136681728463533,4.857142857142857,2.5,0.05097629806045381,0,0,0,0,0
2020-03-12,8,1,Ireland,4904240,43,0.8767923266398056,5.857142857142857,3.0714285714285716,0.06262802333141469,1,0.020390519224181523,0.14285714285714285,0.07142857142857142,0.0014564656588701087
2020-03-13,27,0,Ireland,4904240,70,1.4273363456927066,9.142857142857142,5,0.10195259612090762,1,0.020390519224181523,0.14285714285714285,0.07142857142857142,0.0014564656588701087
2020-03-14,21,0,Ireland,4904240,91,1.8555372494005187,11.142857142857142,6.5,0.1325383749571799,1,0.020390519224181523,0.14285714285714285,0.07142857142857142,0.0014564656588701087
2020-03-15,38,1,Ireland,4904240,129,2.6303769799194168,15.857142857142858,9.214285714285714,0.18788406999424404,2,0.04078103844836305,0.2857142857142857,0.14285714285714285,0.0029129313177402175
2020-03-16,40,0,Ireland,4904240,169,3.4459977488866778,21.428571428571427,12.071428571428571,0.2461426963490484,2,0.04078103844836305,0.2857142857142857,0.14285714285714285,0.0029129313177402175
2020-03-17,54,0,Ireland,4904240,223,4.54708578699248,28.857142857142858,15.857142857142858,0.3233353762691642,2,0.04078103844836305,0.2857142857142857,0.14285714285714285,0.0029129313177402175
2020-03-18,69,0,Ireland,4904240,292,5.954031613461005,36.714285714285715,20.785714285714285,0.4238315067312017,2,0.04078103844836305,0.2857142857142857,0.14285714285714285,0.0029129313177402175
2020-03-19,74,0,Ireland,4904240,366,7.462930036050438,46.142857142857146,26,0.5301534998287196,2,0.04078103844836305,0.14285714285714285,0.14285714285714285,0.0029129313177402175
2020-03-20,191,1,Ireland,4904240,557,11.357519207869109,69.57142857142857,39.357142857142854,0.8025125780374299,3,0.06117155767254457,0.2857142857142857,0.21428571428571427,0.004369396976610327
2020-03-21,126,0,Ireland,4904240,683,13.92672463011598,84.57142857142857,47.857142857142854,0.9758319914429728,3,0.06117155767254457,0.2857142857142857,0.21428571428571427,0.004369396976610327
2020-03-22,102,0,Ireland,4904240,785,16.006557590982496,93.71428571428571,54.785714285714285,1.1171091603533736,3,0.06117155767254457,0.14285714285714285,0.21428571428571427,0.004369396976610327
2020-03-23,121,1,Ireland,4904240,906,18.47381041710846,105.28571428571429,63.357142857142854,1.2918850394177865,4,0.0815620768967261,0.2857142857142857,0.2857142857142857,0.005825862635480435
2020-03-24,219,2,Ireland,4904240,1125,22.939334127204216,128.85714285714286,78.85714285714286,1.6079380873926004,6,0.12234311534508914,0.5714285714285714,0.42857142857142855,0.008738793953220653
2020-03-25,204,1,Ireland,4904240,1329,27.099000048937246,148.14285714285714,92.42857142857143,1.8846665625779209,7,0.14273363456927066,0.7142857142857143,0.5,0.010195259612090762
2020-03-26,235,2,Ireland,4904240,1564,31.890772066619903,171.14285714285714,108.64285714285714,2.2152842671414357,9,0.18351467301763372,1,0.5714285714285714,0.01165172527096087
2020-03-27,255,10,Ireland,4904240,1819,37.090354468786195,180.28571428571428,124.92857142857143,2.5473584373638203,19,0.38741986525944894,2.2857142857142856,1.2857142857142858,0.02621638185966196
2020-03-28,302,3,Ireland,4904240,2121,43.24829127448901,205.42857142857142,145,2.956625287506321,22,0.44859142293199356,2.7142857142857144,1.5,0.030585778836272285
2020-03-29,294,14,Ireland,4904240,2415,49.24310392639838,232.85714285714286,163.28571428571428,3.3294804961770685,36,0.7340586920705349,4.714285714285714,2.4285714285714284,0.0495198324015837
2020-03-30,200,10,Ireland,4904240,2615,53.32120777123468,244.14285714285714,174.71428571428572,3.5625150015962865,46,0.9379638843123501,6,3.142857142857143,0.0640844889902848
2020-03-31,295,8,Ireland,4904240,2910,59.33641094236823,255,191.92857142857142,3.9135232253839822,54,1.1010880381058024,6.857142857142857,3.7142857142857144,0.07573621426124566
2020-04-01,325,17,Ireland,4904240,3235,65.96332969022723,272.2857142857143,210.21428571428572,4.286378434054731,71,1.4477268649168882,9.142857142857142,4.928571428571429,0.10049613046203752
2020-04-02,212,14,Ireland,4904240,3447,70.28611976575371,269,220.07142857142858,4.4873706949788055,85,1.7331941340554295,10.857142857142858,5.928571428571429,0.12088664968621904
2020-04-03,402,13,Ireland,4904240,3849,78.48310849387468,290,235.14285714285714,4.794684949000398,98,1.9982708839697894,11.285714285714286,6.785714285714286,0.13836423759266034
2020-04-04,424,22,Ireland,4904240,4273,87.12868864492765,307.42857142857144,256.42857142857144,5.2287117153436915,120,2.446862306901783,14,8.357142857142858,0.17040648208780274
2020-04-05,331,17,Ireland,4904240,4604,93.87795050813173,312.7142857142857,272.7857142857143,5.5622423512249455,137,2.793501133712869,14.428571428571429,9.571428571428571,0.19516639828859458
2020-04-06,507,21,Ireland,4904240,5111,104.21594375479177,356.57142857142856,300.35714285714283,6.124438095548808,158,3.221702037420681,16,11,0.22429571146599678
2020-04-07,253,16,Ireland,4904240,5364,109.3747451185097,350.57142857142856,302.7857142857143,6.173957927950392,174,3.5479503450075853,17.142857142857142,12,0.24468623069017828
2020-04-08,345,36,Ireland,4904240,5709,116.40947425085233,353.42857142857144,312.85714285714283,6.379319585851077,210,4.2820090370781205,19.857142857142858,14.5,0.2956625287506321
2020-04-09,515,25,Ireland,4904240,6224,126.91059165130581,396.7142857142857,332.85714285714283,6.787129970334707,235,4.791772017682658,21.428571428571427,16.142857142857142,0.3291612389046446
2020-04-10,1169,28,Ireland,4904240,7393,150.74710862437402,506.2857142857143,398.14285714285717,8.118339582541987,263,5.362706555959741,23.571428571428573,17.428571428571427,0.3553776207643065
2020-04-11,696,24,Ireland,4904240,8089,164.93891000440436,545.1428571428571,426.2857142857143,8.69218705213681,287,5.852079017340097,23.857142857142858,18.928571428571427,0.38596339960057885
2020-04-12,839,33,Ireland,4904240,8928,182.04655563349266,617.7142857142857,465.2142857142857,9.48596083622102,320,6.524966151738088,26.142857142857142,20.285714285714285,0.4136362471191109
2020-04-13,727,14,Ireland,4904240,9655,196.8704631094726,649.1428571428571,502.85714285714283,10.253518238445565,334,6.810433420876629,25.142857142857142,20.571428571428573,0.41946210975459136
2020-04-14,992,31,Ireland,4904240,10647,217.09785817986068,754.7142857142857,552.6428571428571,11.268674802678031,365,7.4425395168262565,27.285714285714285,22.214285714285715,0.4529608199086039
2020-04-15,832,41,Ireland,4904240,11479,234.06277017437972,824.2857142857143,588.8571428571429,12.007102891725179,406,8.2785508050177,28,23.928571428571427,0.4879159957214864
2020-04-16,1068,38,Ireland,4904240,12547,255.83984470580558,903.2857142857143,650,13.25383749571799,444,9.053390535536597,29.857142857142858,25.642857142857142,0.5228711715343691
2020-04-17,724,42,Ireland,4904240,13271,270.602580624113,839.7142857142857,673,13.722819437874167,486,9.90979234295222,31.857142857142858,27.714285714285715,0.5651086756416023
2020-04-18,709,44,Ireland,4904240,13980,285.0594587540577,841.5714285714286,693.3571428571429,14.137912150652147,530,10.806975188816208,34.714285714285715,29.285714285714285,0.5971509201367446
2020-04-19,778,41,Ireland,4904240,14758,300.9232827104709,832.8571428571429,725.2857142857143,14.788952300167086,571,11.64298647700765,35.857142857142854,31,0.6321060959496273
2020-04-20,493,39,Ireland,4904240,15251,310.9758086879924,799.4285714285714,724.2857142857143,14.768561780942905,610,12.43821672675073,39.42857142857143,32.285714285714285,0.6583224778092892
2020-04-21,401,77,Ireland,4904240,15652,319.1524068968892,715,734.8571428571429,14.984118698455681,687,14.008286707012708,46,36.642857142857146,0.7471668830003659
2020-04-22,388,43,Ireland,4904240,16040,327.06392835587167,651.5714285714286,737.9285714285714,15.046746721787095,730,14.885079033652513,46.285714285714285,37.142857142857146,0.7573621426124567
2020-04-23,631,39,Ireland,4904240,16671,339.93034598633017,589.1428571428571,746.2142857142857,15.215696738216026,769,15.680309283395593,46.42857142857143,38.142857142857146,0.7777526618366382
2020-04-24,936,25,Ireland,4904240,17607,359.0158719801641,619.4285714285714,729.5714285714286,14.876340239699292,794,16.19007226400013,44,37.92857142857143,0.7733832648600278
2020-04-25,577,35,Ireland,4904240,18184,370.78120157251686,600.5714285714286,721.0714285714286,14.703020826293749,829,16.903740436846483,42.714285714285715,38.714285714285715,0.7894043871075991
2020-04-26,377,234,Ireland,4904240,18561,378.4684273200333,543.2857142857143,688.0714285714286,14.030133691895758,1063,21.67512193530496,70.28571428571429,53.07142857142857,1.0821539845404908
2020-04-27,701,24,Ireland,4904240,19262,392.7621812961845,573,686.2142857142857,13.992265584765136,1087,22.164494396685317,68.14285714285714,53.785714285714285,1.096718641129192
2020-04-28,386,15,Ireland,4904240,19648,400.6329217167186,570.8571428571429,642.9285714285714,13.10964739548985,1102,22.47035218504804,59.285714285714285,52.642857142857146,1.0734151905872702
2020-04-29,229,57,Ireland,4904240,19877,405.30235061905614,548.1428571428571,599.8571428571429,12.231398603191176,1159,23.632611780826387,61.285714285714285,53.785714285714285,1.096718641129192
2020-04-30,376,31,Ireland,4904240,20253,412.9691858473484,511.7142857142857,550.4285714285714,11.22352436725306,1190,24.264717876776015,60.142857142857146,53.285714285714285,1.0865233815171011
2020-05-01,359,42,Ireland,4904240,20612,420.28938224882955,429.2857142857143,524.3571428571429,10.69191440176547,1232,25.121119684191637,62.57142857142857,53.285714285714285,1.0865233815171011
2020-05-02,221,33,Ireland,4904240,20833,424.7956869973737,378.42857142857144,489.5,9.981159160236857,1265,25.79400681858963,62.285714285714285,52.5,1.0705022592695301
2020-05-03,343,0,Ireland,4904240,21176,431.78963509126794,373.57142857142856,458.42857142857144,9.347596598628359,1265,25.79400681858963,28.857142857142858,49.57142857142857,1.0107871672558555
2020-05-04,330,38,Ireland,4904240,21506,438.51850643524784,320.57142857142856,446.7857142857143,9.11019269623253,1303,26.568846549108525,30.857142857142858,49.5,1.0093307015969855
2020-05-05,216,16,Ireland,4904240,21722,442.92285858767104,296.2857142857143,433.57142857142856,8.84074654934156,1319,26.89509485669543,31,45.142857142857146,0.9204862964059088
2020-05-06,261,20,Ireland,4904240,21983,448.2447841051825,300.85714285714283,424.5,8.655775410665058,1339,27.30290524117906,25.714285714285715,43.5,0.8869875862518963
2020-05-07,265,36,Ireland,4904240,22248,453.64827169959057,285,398.35714285714283,8.122708979518597,1375,28.036963933249595,26.428571428571427,43.285714285714285,0.882618189275286
2020-05-08,137,28,Ireland,4904240,22385,456.44177283330345,253.28571428571428,341.2857142857143,6.95899291808138,1403,28.607898471526678,24.428571428571427,43.5,0.8869875862518963
2020-05-09,156,26,Ireland,4904240,22541,459.62269383227573,244,311.2142857142857,6.345820875697065,1429,29.1380519713554,23.428571428571427,42.857142857142854,0.8738793953220653
2020-05-10,219,17,Ireland,4904240,22760,464.08821754237147,226.28571428571428,299.92857142857144,6.115699301595588,1446,29.484690798166483,25.857142857142858,27.357142857142858,0.5578263473472517
2020-05-11,236,12,Ireland,4904240,22996,468.9003800792783,212.85714285714286,266.7142857142857,5.438442770220987,1458,29.729377028856664,22.142857142857142,26.5,0.5403487594408104
2020-05-12,139,9,Ireland,4904240,23135,471.73466225143954,201.85714285714286,249.07142857142858,5.07869575248007,1467,29.912891701874297,21.142857142857142,26.071428571428573,0.5316099654875898
2020-05-13,107,21,Ireland,4904240,23242,473.916447808427,179.85714285714286,240.35714285714286,4.901006942097917,1488,30.34109260558211,21.285714285714285,23.5,0.47917720176826584
2020-05-14,159,9,Ireland,4904240,23401,477.1585403650719,164.71428571428572,224.85714285714286,4.584953894123103,1497,30.524607278599742,17.428571428571427,21.928571428571427,0.4471349572731234
2020-05-15,426,9,Ireland,4904240,23827,485.8449015545732,206,229.64285714285714,4.6825370932674,1506,30.708121951617375,14.714285714285714,19.571428571428573,0.39907159053040986
2020-05-16,129,12,Ireland,4904240,23956,488.4752785344926,202.14285714285714,223.07142857142858,4.54854225265135,1518,30.952808182307553,12.714285714285714,18.071428571428573,0.3684858116941376
2020-05-17,92,15,Ireland,4904240,24048,490.3512063031173,184,205.14285714285714,4.182969372274953,1533,31.258665970670275,12.428571428571429,19.142857142857142,0.39033279657718917
2020-05-18,64,10,Ireland,4904240,24112,491.6561995334649,159.42857142857142,186.14285714285714,3.7955495070155036,1543,31.46257116291209,12.142857142857142,17.142857142857142,0.3495517581288261
2020-05-19,88,4,Ireland,4904240,24200,493.45056522519286,152.14285714285714,177,3.60912190268013,1547,31.54413323980882,11.428571428571429,16.285714285714285,0.3320741702223848
2020-05-20,51,14,Ireland,4904240,24251,494.49048170562617,144.14285714285714,162,3.303264114317407,1561,31.829600508947358,10.428571428571429,15.857142857142858,0.3233353762691642
2020-05-21,64,10,Ireland,4904240,24315,495.79547493597374,130.57142857142858,147.64285714285714,3.010514516884515,1571,32.03350570118918,10.571428571428571,14,0.2854672691385413
2020-05-22,76,12,Ireland,4904240,24391,497.3451543970116,80.57142857142857,143.28571428571428,2.9216701116934383,1583,32.278191931879356,11,12.857142857142858,0.26216381859661964
2020-05-23,115,9,Ireland,4904240,24506,499.6900641077924,78.57142857142857,140.35714285714286,2.861955019679764,1592,32.46170660489699,10.571428571428571,11.642857142857142,0.23740390239582773
2020-05-24,76,12,Ireland,4904240,24582,501.23974356883025,76.28571428571429,130.14285714285714,2.653680430461338,1604,32.70639283558717,10.142857142857142,11.285714285714286,0.2301215741014772
2020-05-25,57,2,Ireland,4904240,24639,502.4020031646086,75.28571428571429,117.35714285714286,2.392973077523589,1606,32.747173874035525,9,10.571428571428571,0.21555691751277611
2020-05-26,59,0,Ireland,4904240,24698,503.6050437988353,71.14285714285714,111.64285714285714,2.27645582481398,1606,32.747173874035525,8.428571428571429,9.928571428571429,0.20244872658294513
2020-05-27,37,9,Ireland,4904240,24735,504.35949301013,69.14285714285714,106.64285714285714,2.1745032286930726,1615,32.93068854705316,7.714285714285714,9.071428571428571,0.18497113867650383
2020-05-28,68,16,Ireland,4904240,24803,505.74604831737435,69.71428571428571,100.14285714285714,2.0419648537358928,1631,33.25693685464007,8.571428571428571,9.571428571428571,0.19516639828859458
2020-05-29,38,8,Ireland,4904240,24841,506.52088804789327,64.28571428571429,72.42857142857143,1.4768561780942904,1639,33.42006100843352,8,9.5,0.19370993262972447
2020-05-30,35,6,Ireland,4904240,24876,507.2345562207396,52.857142857142854,65.71428571428571,1.3399484061605,1645,33.54240412377861,7.571428571428571,9.071428571428571,0.18497113867650383
2020-05-31,53,5,Ireland,4904240,24929,508.3152537396212,49.57142857142857,62.92857142857143,1.283146245464566,1650,33.64435671989951,6.571428571428571,8.357142857142858,0.17040648208780274
2020-06-01,61,0,Ireland,4904240,24990,509.5590754122963,50.142857142857146,62.714285714285715,1.2787768484879556,1650,33.64435671989951,6.285714285714286,7.642857142857143,0.15584182549910167
