date,year_week,cases_weekly,deaths_weekly,country,population,continent,notification_rate_per_100000_population_14_days,cum_cases,cum_cases_per100000,weekly_cases_per100000,cum_deaths,cum_deaths_per100000,weekly_deaths_per100000
2020-10-05,2020-40,63563,1034,Russia,145872260,Rest of Europe,76.51,1215001,832.9212147669474,43.57442600807035,21358,14.641577500753055,0.7088393639750286
2020-10-12,2020-41,83717,1239,Russia,145872260,Rest of Europe,100.97,1298718,890.3118385908328,57.39062382388536,22597,15.490950781183482,0.8493732804304259
2020-10-19,2020-42,100616,1590,Russia,145872260,Rest of Europe,126.37,1399334,959.2872558497414,68.97541725890858,24187,16.58094554783754,1.0899947666540575
2020-10-26,2020-43,114543,1863,Russia,145872260,Rest of Europe,147.5,1513877,1037.8100675207197,78.52281167097843,26050,17.8580903593322,1.2771448114946597
2020-11-02,2020-44,122904,2185,Russia,145872260,Rest of Europe,162.78,1636781,1122.064606389179,84.25453886845929,28235,19.3559762493568,1.4978858900246008
2020-11-09,2020-45,137553,2302,Russia,145872260,Rest of Europe,178.55,1774334,1216.3614932681512,94.29688687897205,30537,20.934069301455946,1.5780930520991447
2020-11-16,2020-46,151491,2649,Russia,145872260,Rest of Europe,198.15,1925825,1320.2133154034907,103.8518221353395,33186,22.75004171457959,1.8159724131236465
2020-11-23,2020-47,163504,2993,Russia,145872260,Rest of Europe,215.94,2089329,1432.3004250431165,112.0871096396258,36179,24.80183689482839,2.051795180248801
2020-11-30,2020-48,179987,3348,Russia,145872260,Rest of Europe,235.47,2269316,1555.687147097056,123.38672205393952,39527,27.096995686499955,2.2951587916715623
2020-12-07,2020-49,191454,3614,Russia,145872260,Rest of Europe,254.63,2460770,1686.9348565656005,131.2477094685446,43141,29.57450580391364,2.4775101174136878
2020-12-14,2020-50,193158,3800,Russia,145872260,Rest of Europe,263.66,2653928,1819.3507113689743,132.41585480337386,46941,32.17952474308686,2.605018939173219
2020-12-21,2020-51,108740,2210,Russia,145872260,Rest of Europe,206.96,2762668,1893.8953849073155,74.544673538341,49151,33.69454891560602,1.5150241725191615
2020-12-28,2020-52,315367,6114,Russia,145872260,Rest of Europe,290.74,3078035,2110.0893343258,216.19394941848435,55265,37.88588728247578,4.191338366869753
2021-01-04,2020-53,182103,3723,Russia,145872260,Rest of Europe,341.03,3260138,2234.9266406100787,124.83730628427914,58988,40.43812031156575,2.552233029089972
2021-01-11,2021-01,165131,3285,Russia,145872260,Rest of Europe,238.04,3425269,2348.129109674451,113.2024690643718,62273,42.69009063135102,2.2519703197852694
2021-01-18,2021-02,165797,3764,Russia,145872260,Rest of Europe,226.86,3591066,2461.7881425844776,113.6590329100269,66037,45.27043044373207,2.5803398123810517
2021-01-25,2021-03,147624,3881,Russia,145872260,Rest of Europe,214.86,3738690,2562.9890151835584,101.20087259908087,69918,47.930977418187666,2.6605469744555954
2021-02-01,2021-04,129397,3701,Russia,145872260,Rest of Europe,189.91,3868087,2651.694708781505,88.70569359794658,73619,50.468128758682425,2.5371513404947588
2020-01-06,2020-01,0,0,Spain,46937060,Western Europe,NA,0,0,0,0,0,0
2020-01-13,2020-02,0,0,Spain,46937060,Western Europe,0,0,0,0,0,0,0
2020-01-20,2020-03,0,0,Spain,46937060,Western Europe,0,0,0,0,0,0,0
2020-01-27,2020-04,0,0,Spain,46937060,Western Europe,0,0,0,0,0,0,0
2020-02-03,2020-05,1,0,Spain,46937060,Western Europe,0,1,0.0021305126482144385,0.0021305126482144385,0,0,0
2020-02-10,2020-06,1,0,Spain,46937060,Western Europe,0,2,0.004261025296428877,0.0021305126482144385,0,0,0
2020-02-17,2020-07,0,0,Spain,46937060,Western Europe,0,2,0.004261025296428877,0,0,0,0
2020-02-24,2020-08,0,0,Spain,46937060,Western Europe,0,2,0.004261025296428877,0,0,0,0
2020-03-02,2020-09,134,0,Spain,46937060,Western Europe,0.29,136,0.28974972015716366,0.28548869486073475,0,0,0
2020-03-09,2020-10,1391,5,Spain,46937060,Western Europe,3.25,1527,3.253292813823448,2.963543093666284,5,0.010652563241072192,0.010652563241072192
2020-03-16,2020-11,9964,283,Spain,46937060,Western Europe,24.19,11491,24.481720840632114,21.228428026808665,288,0.6135876426857583,0.6029350794446862
2020-03-23,2020-12,29771,1432,Spain,46937060,Western Europe,84.66,41262,87.90921289062416,63.42749204999205,1720,3.6644817549288344,3.050894112243076
2020-03-30,2020-13,54860,4808,Spain,46937060,Western Europe,180.31,96122,204.78913677166827,116.87992388104409,6528,13.907986567543855,10.24350481261502
2020-04-06,2020-14,46276,5890,Spain,46937060,Western Europe,215.47,142398,303.38074008043964,98.59160330877135,12418,26.456706065526898,12.548719497983043
2020-04-13,2020-15,32553,4554,Spain,46937060,Western Europe,167.95,174951,372.7353183177642,69.35457823732462,16972,36.15906066549545,9.702354599968553
2020-04-20,2020-16,20519,3880,Spain,46937060,Western Europe,113.07,195470,416.4513073464763,43.715989028712066,20852,44.42544974056747,8.266389075072022
2020-04-27,2020-17,16100,2338,Spain,46937060,Western Europe,78.02,211570,450.75256098272877,34.30125363625246,23190,49.40658831209283,4.981138571525357
2020-05-04,2020-18,7635,2238,Spain,46937060,Western Europe,50.57,219205,467.01902505184603,16.266464069117237,25428,54.17467561879674,4.768087306703913
2020-05-11,2020-19,8565,1316,Spain,46937060,Western Europe,34.51,227770,485.26686588380267,18.247840831956665,26744,56.978430263846946,2.8037546450502013
2020-05-18,2020-20,3836,965,Spain,46937060,Western Europe,26.42,231606,493.4395124023533,8.172646518550586,27709,59.03437496937388,2.055944705526933
2020-05-25,2020-21,3794,-875,Spain,46937060,Western Europe,16.26,235400,501.52267738967885,8.08316498732558,26834,57.17017640218624,-1.8641985671876338
2020-06-01,2020-22,4238,293,Spain,46937060,Western Europe,17.11,239638,510.5517899928116,9.029112603132791,27127,57.794416608113075,0.6242402059268305
2020-06-08,2020-23,2079,9,Spain,46937060,Western Europe,13.46,241717,514.9811257884494,4.429335795637818,27136,57.81359122194701,0.019174613833929946
2020-06-15,2020-24,2392,0,Spain,46937060,Western Europe,9.53,244109,520.0773120429784,5.096186254528937,27136,57.81359122194701,0
2020-06-22,2020-25,2395,1188,Spain,46937060,Western Europe,10.2,246504,525.179889835452,5.10257779247358,28324,60.344640248025755,2.531049026078753
2020-06-29,2020-26,2466,22,Spain,46937060,Western Europe,10.36,248970,530.4337340259488,5.253844190496806,28346,60.39151152628647,0.04687127826071765
2020-07-06,2020-27,2819,42,Spain,46937060,Western Europe,11.26,251789,536.4396491812653,6.005915155316503,28388,60.48099305751148,0.08948153122500642
2020-07-13,2020-28,4164,18,Spain,46937060,Western Europe,14.88,255953,545.3111038484302,8.871454667164922,28406,60.51934228517934,0.03834922766785989
2020-07-20,2020-29,8883,16,Spain,46937060,Western Europe,27.8,264836,564.2364477025191,18.925343854088858,28422,60.55343048755077,0.034088202371431016
2020-07-27,2020-30,13946,12,Spain,46937060,Western Europe,48.64,278782,593.9485770945176,29.71212939199856,28434,60.57899663932935,0.025566151778573264
2020-08-03,2020-31,18272,38,Spain,46937060,Western Europe,68.64,297054,632.8773042026918,38.92872710817422,28472,60.65995611996149,0.08095948063214867
2020-08-10,2020-32,25926,104,Spain,46937060,Western Europe,94.16,322980,688.1129751202993,55.235670917607536,28576,60.881529435375796,0.2215733154143016
2020-08-17,2020-33,36102,70,Spain,46937060,Western Europe,132.15,359082,765.028742746137,76.91576762583766,28646,61.030665320750806,0.14913588537501068
2020-08-24,2020-34,46354,226,Spain,46937060,Western Europe,175.67,405436,863.7865260414691,98.75778329533209,28872,61.51216117924727,0.4814958584964631
2020-08-31,2020-35,57422,222,Spain,46937060,Western Europe,221.1,462858,986.1248233272386,122.33829728576949,29094,61.98513498715087,0.4729738079036054
2020-09-07,2020-36,62691,422,Spain,46937060,Western Europe,255.9,525549,1119.68879175645,133.56396842921137,29516,62.88421132469737,0.8990763375464931
2020-09-14,2020-37,68181,332,Spain,46937060,Western Europe,278.82,593730,1264.9492746243586,145.26048286790862,29848,63.59154152390456,0.7073301992071936
2020-09-21,2020-38,77738,815,Spain,46937060,Western Europe,310.88,671468,1430.5710668712527,165.62179224689402,30663,65.32790933219933,1.7363678082947673
2020-09-28,2020-39,76798,748,Spain,46937060,Western Europe,329.24,748266,1594.1901772288252,163.61911035757245,31411,66.92153279306373,1.5936234608644
2020-10-05,2020-40,65146,814,Spain,46937060,Western Europe,302.41,813412,1732.9845542094029,138.79437698057782,32225,68.65577008871028,1.734237295646553
2020-10-12,2020-41,75556,899,Spain,46937060,Western Europe,299.77,888968,1893.957567857893,160.9730136484901,33124,70.57110095945507,1.9153308707447803
2020-10-19,2020-42,85481,868,Spain,46937060,Western Europe,343.09,974449,2076.0759195399114,182.1183516820184,33992,72.4203859381052,1.8492849786501326
2020-10-26,2020-43,123871,1039,Spain,46937060,Western Europe,446.03,1098320,2339.9846517868823,263.9087322469707,35031,74.6339885796,2.2136026414948016
2020-11-02,2020-44,142377,1226,Spain,46937060,Western Europe,567.24,1240697,2643.3206511017092,303.3359993148271,36257,77.2459970863109,2.6120085067109016
2020-11-09,2020-45,140521,3088,Spain,46937060,Western Europe,602.72,1381218,2942.7024189414506,299.38176783974114,39345,83.82502014399708,6.579023057686186
2020-11-16,2020-46,115646,1908,Spain,46937060,Western Europe,545.77,1496864,3189.087684656857,246.38526571540697,41253,87.89003827679024,4.065018132793149
2020-11-23,2020-47,85752,1878,Spain,46937060,Western Europe,429.08,1582616,3371.7834052665416,182.69572060968454,43131,91.89114103013695,4.001102753346715
2020-11-30,2020-48,65571,1938,Spain,46937060,Western Europe,322.4,1648187,3511.483250122611,139.69984485606895,45069,96.02007454237653,4.128933512239582
2020-12-07,2020-49,54141,1577,Spain,46937060,Western Europe,255.05,1702328,3626.8313354095885,115.34808528697792,46646,99.3798929886107,3.3598184462341694
