date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2020-06-04,86,10,Netherlands,17282163,46733,270.4117534361874,137.85714285714286,5977,34.58479126715794,15.142857142857142
2020-06-05,209,13,Netherlands,17282163,46942,271.6210927995529,141.71428571428572,5990,34.660013332821826,12.428571428571429
2020-06-06,210,15,Netherlands,17282163,47152,272.8362184756619,146.57142857142858,6005,34.74680802397246,10.571428571428571
2020-06-07,183,6,Netherlands,17282163,47335,273.8951137076997,154,6011,34.78152590043272,8.571428571428571
2020-06-08,239,2,Netherlands,17282163,47574,275.27804245336654,161.71428571428572,6013,34.79309852591947,8.142857142857142
2020-06-09,165,3,Netherlands,17282163,47739,276.23278405602355,170.57142857142858,6016,34.8104574641496,7.714285714285714
2020-06-10,164,15,Netherlands,17282163,47903,277.1817393459372,179.42857142857142,6031,34.89725215530024,9.142857142857142
2020-06-11,184,11,Netherlands,17282163,48087,278.24642089071835,193.42857142857142,6042,34.960901595477374,9.285714285714286
2020-06-12,164,2,Netherlands,17282163,48251,279.195376180632,187,6044,34.97247422096412,7.714285714285714
2020-06-13,210,9,Netherlands,17282163,48461,280.41050185674095,187,6053,35.024551035654504,6.857142857142857
2020-06-14,179,4,Netherlands,17282163,48640,281.4462518378053,186.42857142857142,6057,35.04769628662801,6.571428571428571
2020-06-15,143,2,Netherlands,17282163,48783,282.273694560108,172.71428571428572,6059,35.05926891211476,6.571428571428571
2020-06-16,0,0,Netherlands,17282163,48783,282.273694560108,149.14285714285714,6059,35.05926891211476,6.142857142857143
2020-06-17,304,11,Netherlands,17282163,49087,284.0327336340943,169.14285714285714,6070,35.1229183522919,5.571428571428571
2020-06-18,117,4,Netherlands,17282163,49204,284.7097322250693,159.57142857142858,6074,35.146063603265404,4.571428571428571
2019-12-31,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-01,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-02,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-03,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-04,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-05,0,0,Russia,114587226,0,0,NA,0,0,NA
2020-01-06,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-07,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-08,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-09,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-10,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-11,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-12,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-13,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-14,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-15,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-16,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-17,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-18,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-19,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-20,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-21,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-22,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-23,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-24,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-25,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-26,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-27,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-28,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-29,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-30,0,0,Russia,114587226,0,0,0,0,0,0
2020-01-31,0,0,Russia,114587226,0,0,0,0,0,0
2020-02-01,2,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-02,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-03,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-04,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-05,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-06,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-07,0,0,Russia,114587226,2,0.0017453952502524146,0.2857142857142857,0,0,0
2020-02-08,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-09,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-10,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-11,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-12,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-13,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-14,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-15,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
