date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-05-06,1075,236,Italy,60359546,Europe,213013,352.90689562177954,1.78099417778921,1644,11508,19.06574976557975,2075.4285714285716,29056,3.438442978727129,48.1382017021798,29315,48.56729704361925,279.42857142857144,1956,3.240581034191344,333.35714285714283,4667,0.5522857028400161,7.731999839760226
2020-05-07,1444,369,Italy,60359546,Europe,214457,355.2992264057122,2.392330783932669,1552.2857142857142,10866,18.00212347521633,1937.857142857143,27130,3.210523059363539,44.94732283108955,29684,49.17863364976271,286,2002,3.316791017613022,328.5,4599,0.5442386859569819,7.6193416033977455
2020-05-08,1401,274,Italy,60359546,Europe,215858,357.6203174225333,2.3210910168211005,1485,10395,17.221799514529152,1848.9285714285713,25885,3.063191647313867,42.88468306239414,29958,49.6325800727527,284.42857142857144,1991,3.2985668911426207,314.92857142857144,4409,0.5217543740779155,7.304561237090816
2020-05-09,1327,243,Italy,60359546,Europe,217185,359.8188097703717,2.1984923478384015,1393.857142857143,9757,16.16480017924588,1727.9285714285713,24191,2.8627262561394535,40.07816758595235,30201,50.03516759387156,280.7142857142857,1965,3.2554916831216723,302.2857142857143,4232,0.5008084624853114,7.0113184747943595
2020-05-10,1083,194,Italy,60359546,Europe,218268,361.6130578583212,1.7942480879495017,1277.142857142857,8940,14.811244604126081,1636.9285714285713,22917,2.7119630280661347,37.96748239292589,30395,50.35657491525864,240.71428571428572,1685,2.7916048275114593,286.5,4011,0.4746556576154499,6.645179206616299
2020-05-11,802,165,Italy,60359546,Europe,219070,362.9417623518905,1.3287044935692525,1193.2857142857142,8353,13.83873894611467,1528.2142857142858,21395,2.531851856066455,35.44592598493037,30560,50.62993681231466,239.42857142857142,1676,2.776694178581131,279.7142857142857,3916,0.4634135016759167,6.487789023462834
2020-05-12,744,179,Italy,60359546,Europe,219814,364.1743759967976,1.232613644907137,1125.142857142857,7876,13.048474552807273,1457.142857142857,20400,2.414105064910291,33.79747090874408,30739,50.92649305215119,237.14285714285714,1660,2.7501863582605477,268.7142857142857,3762,0.4451893752055155,6.232651252877217
2020-05-13,1402,172,Italy,60359546,Europe,221216,366.49712375238875,2.3227477555911373,1171.857142857143,8203,13.5902281306092,1407.9285714285713,19711,2.332569849727782,32.65597789618895,30911,51.211452120597464,228,1596,2.644155076978213,253.71428571428572,3552,0.4203382936549684,5.884736111169557
2020-05-14,888,195,Italy,60359546,Europe,222104,367.96830778018114,1.4711840277923893,1092.4285714285713,7647,12.66908137446892,1322.357142857143,18513,2.1908003464060894,30.67120484968525,31106,51.53451618075457,203.14285714285714,1422,2.3558825309918667,244.57142857142858,3424,0.405190967757492,5.672673548604888
2020-05-15,992,262,Italy,60359546,Europe,223096,369.6117926400573,1.6434848598761826,1034,7238,11.991475217524002,1259.5,17633,2.0866624808609395,29.213274732053154,31368,51.96858173850413,201.42857142857142,1410,2.336001665751429,242.92857142857142,3401,0.40246918263528925,5.63456855689405
