date,country,continent,population,weekly_cases,cases_14day_rollsum_per100000,cumulative_cases,weekly_deaths,deaths_14day_rollsum_per1000000,cumulative_deaths,weekly_cases_per100000,cum_cases_per100000,weekly_deaths_per100000,cum_deaths_per100000
2021-02-01,Greece,Europe,10718565,6989,111.638078418147,163946,176,30.414519107735,5972,65.20462393986509,1529.551763692248,1.6420108475341615,55.71641353110235
2021-02-08,Greece,Europe,10718565,8182,141.539469136027,172128,154,30.7877033912655,6126,76.334845196162,1605.8866088884101,1.4367594915923914,57.15317302269474
2021-02-15,Greece,Europe,10718565,7674,147.930249991487,179802,171,30.3212230368524,6297,71.59540479532475,1677.4820136837347,1.5953628120928502,58.74853583478759
2021-02-22,Greece,Europe,10718565,11298,177.001305678512,191100,207,35.2659147936314,6504,105.40590088318726,1782.887914566922,1.9312286672702923,60.67976450205788
2021-03-01,Greece,Europe,10718565,14020,236.206992260624,205120,254,43.0094886768891,6758,130.8010913774372,1913.6890059443592,2.3697202004186195,63.0494847024765
2021-03-08,Greece,Europe,10718565,16027,280.326704181017,221147,333,54.7647936080996,7091,149.52561280357958,2063.214618747939,3.10675916039134,66.15624386286784
2021-03-15,Greece,Europe,10718565,15978,298.594074859834,237125,371,65.6804339013665,7462,149.06846205625473,2212.2830808041936,3.4612842297453064,69.61752809261314
2021-03-22,Greece,Europe,10718565,16906,306.794799490417,254031,418,73.6105999263894,7880,157.72633743416213,2370.009418238356,3.8997757628936336,73.51730385550678
2021-03-29,Greece,Europe,10718565,21383,357.221325802475,275414,500,85.6457930702478,8380,199.49498836831236,2569.504406606668,4.664803544131141,78.18210739963793
2019-12-30,Ireland,Europe,4964440,0,NA,0,0,NA,0,0,0,0,0
2020-01-06,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-01-13,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-01-20,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-01-27,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-02-03,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-02-10,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-02-17,Ireland,Europe,4964440,0,0,0,0,0,0,0,0,0,0
2020-02-24,Ireland,Europe,4964440,1,0.0201432588569909,1,0,0,0,0.02014325885699092,0.02014325885699092,0,0
2020-03-02,Ireland,Europe,4964440,20,0.423008435996809,21,0,0,0,0.4028651771398184,0.4230084359968093,0,0
2020-03-09,Ireland,Europe,4964440,148,3.38406748797448,169,2,0.402865177139818,2,2.9812023108346564,3.4042107468314655,0.04028651771398184,0.04028651771398184
2020-03-16,Ireland,Europe,4964440,737,17.826784088437,906,2,0.805730354279637,4,14.845581777602309,18.249792524433772,0.04028651771398184,0.08057303542796368
2020-03-23,Ireland,Europe,4964440,1709,49.2704111641998,2615,42,8.863033897076,46,34.42482938659748,52.67462191103126,0.8460168719936186,0.9265899074215823
2020-03-30,Ireland,Europe,4964440,2496,84.7024034936468,5111,112,31.020618639766,158,50.27757410704934,102.9521960180806,2.256044991982983,3.1826348994045652
2020-04-06,Ireland,Europe,4964440,4544,141.808542353216,9655,176,58.0125855081339,334,91.53096824616674,194.48316426424734,3.545213558830402,6.727848458234967
2020-04-13,Ireland,Europe,4964440,5596,204.252644809888,15251,276,91.047530033599,610,112.72167656372119,307.20484082796855,5.559539444529494,12.287387902764461
2020-04-20,Ireland,Europe,4964440,4011,193.516287839112,19262,477,151.678739193142,1087,80.79461127539058,387.9994521033591,9.60833447478467,21.89572237754913
2020-04-27,Ireland,Europe,4964440,2244,125.996084150478,21506,216,139.592783878947,1303,45.201472875087624,433.2009249784467,4.350943913110039,26.24666629065917
2020-05-04,Ireland,Europe,4964440,1490,75.2149285720041,22996,155,74.7314903594363,1458,30.01345569691647,463.2143806753632,3.1222051228335927,29.368871413492762
2020-05-11,Ireland,Europe,4964440,1116,52.4933325813183,24112,85,48.3438212567782,1543,22.479876884401868,485.69425755976505,1.7121770028442282,31.08104841633699
2020-05-18,Ireland,Europe,4964440,527,33.0953743020361,24639,63,29.8120231083466,1606,10.615497417634215,496.3097549773993,1.269025307990428,32.350073724327416
2020-05-25,Ireland,Europe,4964440,351,17.685781276438,24990,44,21.5532869769803,1650,7.070283858803813,503.3800388362031,0.8863033897076005,33.236377114035015
2020-06-01,Ireland,Europe,4964440,211,11.3205114776289,25201,29,14.7045789656034,1679,4.250227618825084,507.63026645502816,0.5841545068527367,33.820531620887756
2020-06-08,Ireland,Europe,4964440,102,6.30484002223816,25303,27,11.2802249599149,1706,2.0546124034130737,509.68487885844127,0.5438679891387549,34.36439961002651
2020-06-15,Ireland,Europe,4964440,76,3.58550007654438,25379,9,7.25157318851673,1715,1.53088767313131,511.21576653157257,0.18128932971291828,34.54568893973943
2020-06-22,Ireland,Europe,4964440,60,2.73948320455077,25439,20,5.84154506852737,1735,1.2085955314194552,512.424362062992,0.4028651771398184,34.948554116879244
2020-06-29,Ireland,Europe,4964440,88,2.98120231083466,25527,6,5.23724730281764,1741,1.772606779415201,514.1969688424073,0.12085955314194552,35.06941367002119
2020-07-06,Ireland,Europe,4964440,101,3.80707592397128,25628,5,2.215758474269,1746,2.034469144556083,516.2314379869633,0.1007162942849546,35.17012996430615
2020-07-13,Ireland,Europe,4964440,132,4.69337931367888,25760,7,2.41719106283891,1753,2.6589101691228016,518.8903481560861,0.14100281199893644,35.31113277630509
2020-07-20,Ireland,Europe,4964440,121,5.0962444908187,25881,10,3.42435400568846,1763,2.4373343216959014,521.327682477782,0.2014325885699092,35.512565364874995
2020-07-27,Ireland,Europe,4964440,281,8.09759006051035,26162,0,2.01432588569909,1763,5.660255738814449,526.9879382165965,0,35.512565364874995
2020-08-03,Ireland,Europe,4964440,550,16.7390481101595,26712,9,1.81289329712918,1772,11.078792371345006,538.0667305879415,0.18128932971291828,35.69385469458791
2020-08-10,Ireland,Europe,4964440,545,22.0568684484051,27257,2,2.215758474269,1774,10.978076077060052,549.0448066650015,0.04028651771398184,35.73414121230189
2020-08-17,Ireland,Europe,4964440,712,25.3200763832376,27969,3,1.00716294284955,1777,14.342000306177535,563.386806971179,0.06042977657097276,35.79457098887286
2020-08-24,Ireland,Europe,4964440,791,30.2753180620574,28760,0,0.604297765709728,1777,15.933317755879818,579.3201247270589,0,35.79457098887286
2020-08-31,Ireland,Europe,4964440,912,34.3039698334555,29672,0,0,1777,18.37065207757572,597.6907768046345,0,35.79457098887286
2020-09-07,Ireland,Europe,4964440,1313,44.8187509568048,30985,7,1.41002811998936,1784,26.44809887922908,624.1388756838637,0.14100281199893644,35.9355738008718
2020-09-14,Ireland,Europe,4964440,1948,65.6871671326474,32933,8,3.02148882854864,1792,39.23906825341831,663.377943937282,0.16114607085592736,36.09671987172773
2020-09-21,Ireland,Europe,4964440,2057,80.6737517222486,34990,10,3.62578659425837,1802,41.43468346883032,704.8126274061123,0.2014325885699092,36.298152460297636
2020-09-28,Ireland,Europe,4964440,3042,102.710476911797,38032,8,3.62578659425837,1810,61.27579344296638,766.0884208490787,0.16114607085592736,36.459298531153564
2020-10-05,Ireland,Europe,4964440,4496,151.839885263998,42528,16,4.83438212567782,1826,90.56409182103118,856.6525126701099,0.3222921417118547,36.78159067286542
2020-10-12,Ireland,Europe,4964440,7434,240.309078163902,49962,26,8.46016871993619,1852,149.7449863428705,1006.3974990129803,0.5237247302817639,37.30531540314718
