date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,dosen_dim_kumulativ,dosen_kbv_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2021-01-08,585567,63643,63325,318,585505,59,3,584198,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,585567,0,63595,48,0,22349,32447,3367,20986,361765,361704,59,2
2021-01-09,646932,61365,61319,46,646870,59,3,645517,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,646932,0,61365,0,0,25801,25923,2683,25106,370262,370201,59,2
2021-01-10,682204,35272,35264,8,682142,59,3,680781,1423,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,682204,0,35272,0,0,15133,14556,1372,12990,381370,381309,59,2
2021-01-11,749079,66875,66827,48,749016,60,3,747608,1471,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,749079,0,66874,1,0,25058,31382,3208,20459,399851,399789,60,2
2021-01-12,832012,82933,82885,48,831947,60,5,830493,1519,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,832012,0,82931,0,2,28182,42162,2995,24957,428936,428873,59,4
2021-01-13,944230,112218,112041,177,943368,857,5,942534,1696,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,944230,0,111421,797,0,39472,57506,3903,35608,478331,477479,850,2
2021-01-14,1027681,83451,83267,184,1022192,5484,5,1025801,1880,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1027681,0,78824,4627,0,29636,42257,2284,24124,505757,500282,5473,2
2021-01-15,1119025,91344,90741,603,1108080,10921,24,1116542,2483,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1119025,0,85888,5437,19,33922,44572,3959,27739,533458,522575,10862,21
2021-01-16,1176435,57410,56440,970,1163718,12693,24,1172982,3453,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1176435,0,55638,1772,0,24258,24954,2131,19596,529503,516848,12634,21
2021-01-17,1224806,48371,31244,17127,1210783,13998,25,1204226,20580,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1224806,0,47065,1305,1,20466,20375,2025,19746,542602,528641,13939,22
2021-01-18,1307053,82247,66503,15744,1288994,18033,26,1270729,36324,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1307053,0,78211,4035,1,29279,42881,2222,20356,557974,539978,17973,23
2021-01-19,1421757,114704,81773,32931,1400178,21503,76,1352502,69255,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1421757,0,111184,3470,50,37037,62085,3608,30943,589745,568231,21443,71
2021-01-20,1553984,132227,80796,51431,1529650,24254,80,1433298,120686,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1553984,0,129472,2751,4,48311,64071,4243,42235,609754,586282,23397,75
2021-01-21,1659050,105066,64736,40330,1632004,26966,80,1498034,161016,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1659050,0,102354,2712,0,42074,48464,4449,34117,631369,609812,21482,75
2021-01-22,1761196,102146,67443,34703,1732095,29009,92,1565477,195719,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1761196,0,100091,2043,12,43899,45386,3607,34447,642171,624015,18088,68
2021-01-23,1846755,85559,40623,44936,1817270,29392,93,1606100,240655,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1846755,0,85175,383,1,37718,37100,3401,27274,670320,653552,16699,69
2021-01-24,1896521,49766,25622,24144,1866788,29636,97,1631722,264799,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1896521,0,49518,244,4,23888,19078,917,15066,671715,656005,15638,72
2021-01-25,1992747,96226,58188,38038,1961290,31358,99,1689910,302837,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1992747,0,94502,1722,2,40720,41565,3496,25135,685694,672296,13325,73
2021-01-26,2092345,99598,50976,48622,2059228,33012,105,1740886,351459,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2092345,0,97938,1654,6,40197,45564,3787,26288,670588,659050,11509,29
2021-01-27,2203552,111207,51586,59621,2168502,34937,113,1792472,411080,0.022,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,2203552,0,109274,1925,8,43262,52313,5172,30854,649568,638852,10683,33
2021-01-28,2295139,91587,45058,46529,2258453,36572,114,1837530,457609,0.022,0.006,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,2295139,0,89951,1635,1,38156,40823,4188,24438,636089,626449,9606,34
2021-01-29,2403795,108656,51076,57580,2365639,37977,179,1888606,515189,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,2403795,0,107186,1405,65,42904,47911,5533,29403,642599,633544,8968,87
2021-01-30,2491592,87797,35442,52355,2452561,38851,180,1924048,567544,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,2491592,0,86922,874,1,36518,36449,3961,27333,644837,635291,9459,87
2021-01-31,2549617,58025,26687,31338,2510210,39227,180,1950735,598882,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,2549617,0,57649,376,0,25453,22230,2107,15997,653096,643422,9591,83
2021-02-01,2671442,121825,59491,62334,2629767,41438,237,2010226,661216,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,2671442,0,119557,2211,57,43309,63377,3710,27400,678695,668477,10080,138
2021-02-02,2802281,130839,63704,67135,2757722,44308,251,2073930,728351,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,2802281,0,127955,2870,14,43459,70065,5194,30200,709936,698494,11296,146
2021-02-03,2962106,159825,64463,95362,2911138,50697,271,2138393,823713,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,2962106,0,153416,6389,20,59350,77411,5926,42514,758554,742636,15760,158
2021-02-04,3094218,132112,61523,70589,3037369,56572,277,2199916,894302,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,3094218,0,126231,5875,6,49003,64662,4567,31313,799079,778916,20000,163
2021-02-05,3239348,145130,67425,77705,3176093,62971,284,2267341,972007,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,3239348,0,138724,6399,7,54538,70143,5321,33929,835553,810454,24994,105
2021-02-06,3339218,99870,46995,52875,3273496,65437,285,2314336,1024882,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,3339218,0,97403,2466,1,39990,46078,4560,25804,847626,820935,26586,105
2021-02-07,3393474,54256,28185,26071,3325401,67786,287,2342521,1050953,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,3393474,0,51905,2349,2,25641,21272,2718,13233,843857,815191,28559,107
2021-02-08,3503788,110314,53431,56883,3431832,71645,311,2395952,1107836,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,3503788,0,106431,3859,24,52517,45804,3974,18776,832346,802065,30207,74
2021-02-09,3636666,132878,59354,73524,3560719,75526,421,2455306,1181360,0.03,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,3636666,0,128887,3881,110,61170,58646,4448,22913,834385,802997,31218,170
2021-02-10,3786672,150006,74251,75755,3699816,79395,7461,2529557,1257115,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,3786672,0,139097,3869,7040,66918,66666,4008,29421,824566,788678,28698,7190
2021-02-11,3929698,143026,74240,68786,3820123,86690,22885,2603797,1325901,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,3929698,0,120307,7295,15424,61016,67530,5474,25137,835480,782754,30118,22608
2021-02-12,4086554,156856,80896,75960,3952856,96564,37134,2684693,1401861,0.032,0.017,1611268,1919253,157751,1138545,1094198,1240389,101429,704318,517070,678864,56322,434227,4086554,0,132733,9874,14249,71492,70677,6276,25475,847206,776763,33593,36850
2021-02-13,4194666,108112,62001,46111,4045081,99611,49974,2746694,1447972,0.033,0.017,1667599,1960972,162355,1156080,1129093,1262877,103231,711418,538506,698095,59124,444662,4194666,0,92225,3047,12840,56331,41719,4604,17535,855448,771585,34174,49689
2021-02-14,4259555,64889,39844,25045,4100218,102013,57324,2786538,1473017,0.034,0.018,1706122,1983696,163973,1164146,1153761,1276081,104081,714928,552361,707615,59892,449218,4259555,0,55137,2402,7350,38523,22724,1618,8066,866081,774817,34227,57037
2021-02-15,4386665,127110,71061,56049,4207783,106826,72056,2857599,1529066,0.034,0.018,1773591,2031897,168008,1183418,1194859,1300739,106358,721524,578732,731158,61650,461894,4386665,0,107565,4813,14732,67469,48201,4035,19272,882877,775951,35181,71745
2021-02-16,4521863,135198,81588,53610,4313782,112505,95576,2939187,1582676,0.035,0.019,1839625,2089928,170683,1200400,1236633,1336138,107879,728440,602992,753790,62804,471960,4521863,0,105999,5679,23520,66034,58031,2675,16982,885197,753063,36979,95155
2021-02-17,4672118,150255,94375,55880,4436318,120457,115343,3033562,1638556,0.036,0.02,1920033,2147919,175770,1221928,1292995,1368705,110873,736858,627038,779214,64897,485070,4672118,0,122536,7952,19767,80408,57991,5087,21528,885446,736502,41062,107882
2021-02-18,4815648,143530,92033,51497,4547510,128393,139745,3125595,1690053,0.038,0.02,1995907,2206102,179208,1240945,1345328,1403985,112659,744258,650579,802117,66549,496687,4815648,0,111192,7936,24402,75874,58183,3438,19017,885950,727387,41703,116860
2021-02-19,4968707,153059,99295,53764,4665549,138193,164965,3224890,1743817,0.039,0.021,2076668,2266444,184080,1258305,1402958,1440066,115287,750941,673710,826378,68793,507364,4968707,0,118039,9800,25220,80761,60342,4872,17360,882153,712693,41629,127831
2021-02-20,5082968,114261,76437,37824,4753714,142663,186591,3301327,1781641,0.04,0.021,2138268,2310157,187738,1272296,1445964,1469322,117533,755178,692304,840835,70205,517118,5082968,0,88165,4470,21626,61600,43713,3658,13991,888302,708633,43052,136617
2021-02-21,5168787,85819,56918,28901,4821001,145891,201895,3358245,1810542,0.04,0.022,2187054,2340674,190304,1282667,1479917,1489494,118664,757407,707137,851180,71640,525260,5168787,0,67287,3228,15304,48786,30517,2566,10371,909232,720783,43878,144571
2021-02-22,5330060,161273,99934,61339,4948202,154989,226869,3458179,1871881,0.042,0.023,2266701,2410287,195201,1300517,1538362,1525084,121627,763642,728339,885203,73574,536875,5330060,0,127201,9098,24974,79647,69613,4897,17850,943395,740419,48163,154813
2021-02-23,5497054,166994,107102,59892,5080626,162148,254280,3565281,1931773,0.043,0.023,2346910,2483166,200501,1318387,1598211,1563793,124757,771284,748699,919373,75744,547103,5497054,0,132424,7159,27411,80209,72879,5300,17870,975191,766844,49643,158704
2021-02-24,5671966,174912,115791,59121,5212551,169883,289532,3681072,1990894,0.044,0.024,2431789,2557990,207079,1337422,1660503,1608669,128907,778912,771286,949321,78172,558510,5671966,0,131925,7735,35252,84879,74824,6578,19035,999848,776233,49426,174189
2021-02-25,5860940,188974,130575,58399,5343721,176529,340690,3811647,2049293,0.046,0.025,2514175,2648479,213515,1355541,1722988,1667176,133470,787131,791187,981303,80045,568410,5860940,0,131170,6646,51158,82386,90489,6436,18119,1045292,796211,48136,200945
2021-02-26,6069633,208693,143929,64764,5483285,185246,401102,3955576,2114057,0.048,0.025,2602819,2749814,220591,1375230,1787946,1735795,138593,794627,814873,1014019,81998,580603,6069633,0,139564,8717,60412,88644,101335,7076,19689,1100926,817736,47053,236137
2021-02-27,6218252,148619,108521,40098,5576197,189437,452618,4064097,2154155,0.049,0.026,2666475,2822116,227301,1388101,1833818,1790224,143432,799030,832657,1031892,83869,589071,6218252,0,92912,4191,51516,63656,72302,6710,12871,1135284,822483,46774,266027
2021-02-28,6326383,108131,83842,24289,5638606,193393,494384,4147939,2178444,0.05,0.026,2714700,2875405,231582,1394762,1868893,1834535,146785,801170,845807,1040870,84797,593592,6326383,0,62409,3956,41766,48225,53289,4281,6661,1157596,817605,47502,292489
2021-03-01,6521837,195454,146045,49409,5767237,202834,551766,4293984,2227853,0.052,0.027,2817221,2953369,239381,1408021,1943445,1896228,153263,806209,873776,1057141,86118,601812,6521837,0,128631,9441,57382,102521,77964,7799,13259,1191777,819035,47845,324897
2021-03-02,6741405,219568,165890,53678,5907788,212951,620666,4459874,2281531,0.054,0.027,2927307,3047588,248982,1422628,2022735,1971725,160632,812692,904572,1075863,88350,609936,6741405,0,140551,10117,68900,110086,94219,9601,14607,1244351,827162,50803,366386
2021-03-03,6984587,243182,174285,68897,6064478,226738,693371,4634159,2350428,0.056,0.028,3047976,3148969,260606,1439862,2105531,2048823,170041,819606,942445,1100146,90565,620256,6984587,0,156690,13787,72705,120669,101381,11624,17234,1312621,851927,56855,403839
2021-03-04,7227036,242449,179921,62528,6206632,240715,779689,4814080,2412956,0.058,0.029,3159240,3258741,272992,1455625,2181653,2136963,180034,825002,977587,1121778,92958,630623,7227036,0,142154,13977,86318,111264,109772,12386,15763,1366096,862911,64186,438999
2021-03-05,7495649,268613,201290,67323,6353829,254037,887783,5015370,2480279,0.06,0.03,3277185,3383782,287941,1471072,2258903,2242620,191990,830697,1018282,1141162,95951,640375,7495649,0,147197,13322,108094,117945,125041,14949,15447,1426016,870544,68791,486681
2021-03-06,7697943,202294,153061,49233,6464481,262633,970829,5168431,2529512,0.062,0.03,3366696,3478463,298371,1480590,2314602,2325555,200824,833966,1052094,1152908,97547,646624,7697943,0,110652,8596,83046,89511,94681,10430,9518,1479691,888284,73196,518211
2021-03-07,7848566,150623,115934,34689,6547238,269370,1031958,5284365,2564201,0.064,0.031,3437978,3544531,306478,1486155,2360956,2383880,208082,835928,1077022,1160651,98396,650227,7848566,0,82757,6737,61129,71282,66068,8107,5565,1522183,908632,75977,537574
2021-03-08,8087230,238664,186286,52378,6682762,280371,1124097,5470651,2616579,0.066,0.031,3556806,3640371,322827,1498475,2442587,2468035,222757,841890,1114219,1172336,100070,656585,8087230,0,135524,11001,92139,118828,95840,16349,12320,1565393,915525,77537,572331
2021-03-09,8337406,250176,195390,54786,6823053,293067,1221286,5666041,2671365,0.068,0.032,3677710,3742787,340236,1512022,2524321,2558568,238262,848791,1153389,1184219,101974,663231,8337406,0,140291,12696,97189,120904,102416,17409,13547,1596001,915265,80116,600620
2021-03-10,8620770,283364,217777,65587,6980478,304617,1335675,5883818,2736952,0.071,0.033,3808598,3856306,360962,1530389,2606688,2661880,256906,860000,1201910,1194426,104056,670389,8619799,971,157425,11550,114389,130888,113519,20726,18367,1636183,916000,77879,642304
2021-03-11,8901989,281219,220236,60983,7129589,317837,1454563,6104054,2797935,0.073,0.034,3937470,3976178,382106,1544008,2689957,2769533,276555,867677,1247513,1206645,105551,676331,8900363,1626,149111,13220,118888,128872,119872,21144,13619,1674953,922957,77122,674874
2021-03-12,9223987,321998,250499,71499,7281861,335369,1606757,6354553,2869434,0.076,0.035,4071484,4127850,404783,1559463,2770420,2906954,297406,877132,1301064,1220896,107377,682331,9222151,1836,152272,17532,152194,134014,151672,22677,15455,1728338,928032,81332,718974
2021-03-13,9470134,246147,196749,49398,7396447,345110,1728577,6551302,2918832,0.079,0.035,4181046,4240796,425293,1567511,2840453,3011727,316755,881879,1340593,1229069,108538,685632,9468142,1992,114586,9741,121820,109562,112946,20510,8048,1772191,931966,82477,757748
2021-03-14,9641218,171084,135023,36061,7486015,350256,1804947,6686325,2954893,0.08,0.036,4266043,4307307,441408,1570975,2896461,3072888,331859,883676,1369582,1234419,109549,687299,9639216,2002,89568,5146,76370,84997,66511,16115,3464,1792652,938777,80886,772989
2021-03-15,9889760,248542,189678,58864,7638261,362614,1888885,6876003,3013757,0.083,0.036,4400463,4391447,461474,1582289,2984151,3147219,350790,890548,1416312,1244228,110684,691741,9887475,2285,152246,12358,83938,134420,84140,20066,11314,1802530,955499,82243,764788
2021-03-16,10070310,180550,113495,67055,7805871,373646,1890793,6989498,3080812,0.084,0.037,4527474,4426082,473886,1593025,3059300,3169255,361553,895647,1468174,1256827,112333,697378,10067478,2832,167610,11032,1908,127011,34635,12412,10736,1732904,982818,80579,669507
2021-03-17,10275783,205473,125942,79531,7992000,391590,1892193,7115440,3160343,0.086,0.038,4672447,4463838,487350,1605072,3141952,3193652,373040,902175,1530495,1270186,114310,702897,10272334,3449,186129,17944,1400,144973,37756,13464,12047,1655013,1011522,86973,556518
2021-03-18,10470917,195134,119699,75435,8167396,409757,1893764,7235139,3235778,0.087,0.039,4812398,4498757,499905,1615322,3222615,3215628,383588,907340,1589783,1283129,116317,707982,10467045,3872,175396,18167,1571,139951,34919,12555,10250,1568928,1037807,91920,439201
2021-03-19,10713682,242765,160056,82709,8351258,430097,1932327,7395195,3318487,0.089,0.04,4961948,4563922,518114,1627194,3306761,3267408,399605,914537,1655187,1296514,118509,712657,10709279,4403,183862,20340,38563,149550,65165,18209,11872,1489695,1069397,94728,325570
2021-03-20,10933131,219449,165557,53892,8487058,445334,2000739,7560752,3372379,0.091,0.041,5078536,4641917,537715,1633319,3379545,3337212,417708,917920,1698991,1304705,120007,715399,10928404,4727,135800,15237,68412,116588,77995,19601,6125,1462997,1090611,100224,272162
2021-03-21,11098860,165729,126954,38775,8591321,454541,2052998,7687706,3411154,0.092,0.041,5171749,4694283,554274,1635819,3440184,3384099,433219,919244,1731565,1310184,121055,716575,11094133,4727,104263,9207,52259,93213,52366,16559,2500,1457642,1105306,104285,248051
2021-03-22,11364641,265781,189537,76244,8756756,478112,2129773,7877243,3487398,0.095,0.042,5329624,4766248,576579,1645397,3534739,3445389,453483,925279,1794885,1320859,123096,720118,11358386,6255,165435,23571,76775,157875,71965,22305,9578,1474881,1118495,115498,240888
2021-03-23,11662309,297668,214043,83625,8937708,497787,2226814,8091286,3571023,0.097,0.043,5490190,4854892,604288,1656865,3629814,3521119,478432,932910,1860376,1333773,125856,723955,11651066,11243,180952,19675,97041,160566,88644,27709,11468,1591999,1131837,124141,336021
2021-03-24,11994782,332473,244655,87818,9134715,530361,2329706,8335941,3658841,0.1,0.044,5664852,4952071,635971,1672375,3732242,3605792,507202,944863,1932610,1346279,128769,727512,11977747,17035,197007,32574,102892,174662,97179,31683,15510,1718999,1142715,138771,437513
2021-03-25,12330054,335272,255279,79993,9322345,557098,2450611,8591220,3738834,0.103,0.045,5830941,5060081,670798,1683452,3832663,3703768,539527,951994,1998278,1356313,131271,731458,12307074,22980,187630,26737,120905,166089,108010,34827,11077,1859137,1154949,147341,556847
2021-03-26,12702290,372236,283055,89181,9524181,592624,2585485,8874275,3828015,0.107,0.046,6003833,5184282,710463,1698535,3933360,3816071,576057,962322,2070473,1368211,134406,736213,12672996,29294,201836,35526,134874,172892,124201,39665,15083,1988608,1172923,162527,653158
2021-03-27,12987334,285044,221730,63314,9675356,619890,2692088,9096005,3891329,0.109,0.047,6147056,5279869,744190,1703356,4023632,3903670,607441,965464,2123424,1376199,136749,737892,12955690,31644,151175,27266,106603,143223,95587,33727,4821,2054203,1188298,174556,691349
2021-03-28,13183340,196006,143249,52757,9792834,638419,2752087,9239254,3944086,0.111,0.047,6253046,5333384,768116,1706823,4085867,3950861,629648,967502,2167179,1382523,138468,739321,13151505,31835,117478,18529,59999,105990,53515,23926,3467,2084480,1201513,183878,699089
2021-03-29,13490801,307461,218448,89013,9980322,664067,2846412,9457702,4033099,0.114,0.048,6418833,5404751,806706,1716518,4180272,4010842,665103,973637,2238561,1393909,141603,742881,13453018,37783,187488,25648,94325,165787,71367,38590,9695,2126160,1223566,185955,716639
2021-03-30,13816103,325302,232187,93115,10194567,689985,2931551,9689889,4126214,0.117,0.05,6591913,5474211,853024,1727240,4280843,4069380,706095,981320,2311070,1404831,146929,745920,13766184,49919,214245,25918,85139,173080,69460,46318,10722,2153794,1256859,192198,704737
2021-03-31,14154830,338727,235791,102936,10442954,727758,2984118,9925680,4229150,0.119,0.051,6774517,5538855,899988,1738789,4384637,4121392,747318,988525,2389880,1417463,152670,750264,14088596,66234,248387,37773,52567,182604,64644,46964,11549,2160048,1308239,197397,654412
2021-04-01,14475419,320589,228130,92459,10677076,759633,3038710,10153810,4321609,0.122,0.052,6936269,5606629,944397,1747554,4476928,4175958,787230,994147,2459341,1430671,157167,753407,14389106,86313,234122,31875,54592,161752,67774,44409,8765,2145365,1354731,202535,588099
2021-04-02,14704833,229414,157792,71622,10858338,776154,3070341,10311602,4393231,0.124,0.053,7067172,5654574,981393,1749910,4552089,4213818,820223,995356,2515083,1440756,161170,754554,14616996,87837,181262,16521,31631,130903,47945,36996,2356,2002543,1334157,183530,484856
2021-04-03,14935077,230244,164110,66134,11030374,793227,3111476,10475712,4459365,0.126,0.054,7198861,5698683,1018737,1753036,4633025,4248782,853330,997097,2565836,1449901,165407,755939,14845841,89236,172036,17073,41135,131689,44109,37344,3126,1947743,1355018,173337,419388
2021-04-04,15131112,196035,142441,53594,11165673,804338,3161101,10618153,4512959,0.128,0.054,7309766,5731715,1048001,1754173,4704262,4274251,879171,997551,2605504,1457464,168830,756622,15041740,89372,135299,11111,49625,110905,33032,29264,1137,1947772,1372839,165919,409014
2021-04-05,15380823,249711,176260,73451,11334060,822255,3224508,10794413,4586410,0.13,0.055,7456036,5770066,1081529,1756372,4794323,4302940,907924,998846,2661713,1467126,173605,757526,15290141,90682,168387,17917,63407,146270,38351,33528,2199,1890022,1353738,158188,378096
2021-04-06,15758458,377635,278393,99242,11591929,855284,3311245,11072806,4685652,0.133,0.056,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,15631149,127309,257869,33029,86737,188890,56620,43111,5556,1942355,1397362,165299,379694
2021-04-07,16434122,675664,579331,96333,12132744,890874,3410504,11652137,4781985,0.14,0.057,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,16001149,432973,540815,35590,99259,0,0,0,0,2279292,1689790,163116,426386
2021-04-08,17163039,728917,639566,89351,12702973,925933,3534133,12291703,4871336,0.148,0.059,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,16405188,757851,570229,35059,123629,0,0,0,0,2687620,2025897,166300,495423
2021-04-09,17785509,622470,534753,87717,13190482,961343,3633684,12826456,4959053,0.154,0.06,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,16788155,997354,487509,35410,99551,0,0,0,0,3080676,2332144,185189,563343
2021-04-10,18153206,367697,302091,65606,13435676,984518,3733012,13128547,5024659,0.158,0.06,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,17122806,1030400,245194,23175,99328,0,0,0,0,3218129,2405302,191291,621536
2021-04-11,18411341,258135,208204,49931,13602028,1002555,3806758,13336751,5074590,0.16,0.061,7644926,5826686,1124640,1761928,4910112,4346229,944820,1001588,2734814,1480457,179820,760340,17375862,1035479,166352,18037,73746,0,0,0,0,3280229,2436355,198217,645657
